USER_ID,LOAN_ID,DISBURSED_DATE,BAD_FLAG,LAST_1_MONTH_CUSTOMERS,LAST_2_MONTH_CUSTOMERS,LAST_3_MONTH_CUSTOMERS,RATIO_OF_CUSTOMERS_ADDED_L1_L3_MNTH,DELETED_CUSTOMERS,LAST_1_MONTH_BOOKS,LAST_2_MONTH_BOOKS,LAST_3_MONTH_BOOKS,RATIO_OF_BOOKS_ADDED_L1_L3_MNTH,DELETED_BOOKS,TOTAL_APPS,BUSINESS_APPS,FINANCE_APPS,BUSINESS_TOTALAPPS_PROPORTION,FINANCE_TOTALAPPS_PROPORTION,DEVICE_CARRIER_GROUP,PRICE,BUSINESS_CARD_FLAG,pred_train1,logodds_score,Calib_PD,Act_pred
cbf768b3-898b-411a-9825-342dfe9f2067,4529,02/03/22,0,6,8,9,0.666667,4,0,0,0,,0,158,21,50,0.132911,0.316456,JIO,24,,0.00567069,-5.1667576,0.034378225,0.062666667
b0f14a14-600a-42d8-b912-a4949226603f,21572,21/06/22,0,0,0,0,,1,1,1,1,1,1,43,3,18,0.069767,0.418605,VI,23,,0.005675061,-5.1659827,0.034386779,0.062666667
cd13eb01-7e63-43da-99a0-d7962e05a7c2,15007,21/05/22,0,15,20,23,0.652174,72,0,0,0,,0,151,12,34,0.07947,0.225166,JIO,70,,0.005731572,-5.1560173,0.034496979,0.062666667
8d1ac83e-1fc7-432c-91c9-8eb5ba8f4a1c,13471,27/04/22,0,0,0,1,0,1,0,0,0,,1,68,9,20,0.132353,0.294118,AIRTEL,34.5,,0.005825486,-5.1396704,0.034678486,0.062666667
4e3c5b7f-6209-453d-9fc3-87dfffea69ec,19403,16/06/22,0,7,10,10,0.7,0,0,0,0,,0,45,5,12,0.111111,0.266667,JIO,25,,0.005828895,-5.139082,0.034685036,0.062666667
8fa8a8c5-9807-48b0-978d-8ad27a858c15,266,03/09/21,0,10,10,11,0.909091,2,0,0,0,,0,312,36,62,0.115385,0.198718,JIO,,,0.005906213,-5.125827,0.034832916,0.062666667
cccfaf0b-a108-4f5c-9d99-0b5c856a8738,3932,22/02/22,0,0,0,2,0,0,0,0,0,,0,240,23,69,0.095833,0.2875,JIO,50,,0.005997651,-5.1103716,0.035006108,0.062666667
fa72dc53-fc21-4337-a40c-e586f89746d2,12133,01/04/22,0,5,7,7,0.714286,0,0,0,0,,0,64,7,19,0.109375,0.296875,AIRTEL,19,,0.006270025,-5.0656853,0.035511546,0.062666667
3872f064-440c-47ef-8a19-1f93c32e3681,13720,03/06/22,0,3,7,7,0.428571,0,0,0,0,,1,54,9,16,0.166667,0.296296,AIRTEL,18,,0.006296194,-5.061494,0.035559313,0.062666667
9374e3a3-74a2-49a2-bc24-908a8fa774a3,20649,20/06/22,0,12,12,12,1,46,0,0,0,,1,196,18,34,0.091837,0.173469,JIO,42,,0.006299823,-5.060914,0.035565926,0.062666667
